Mode,Amperometric i-t Curve,
19.2,0.01269,6.345
19.3,0.01269,6.345
19.4,0.01268,6.34
19.5,0.01269,6.345
19.6,0.01268,6.34
19.7,0.01269,6.345
19.8,0.01267,6.335
19.9,0.01267,6.335
20,0.01267,6.335
20.1,0.01267,6.335
20.2,0.01267,6.335
20.3,0.01266,6.33
20.4,0.01265,6.325
20.5,0.01265,6.325
20.6,0.01265,6.325
20.7,0.01265,6.325
20.8,0.01264,6.32
20.9,0.01264,6.32
21,0.01263,6.315
21.1,0.01262,6.31
21.2,0.01263,6.315
21.3,0.01262,6.31
21.4,0.01263,6.315
21.5,0.01262,6.31
21.6,0.01262,6.31
21.7,0.01261,6.305
21.8,0.01262,6.31
21.9,0.01261,6.305
22,0.0126,6.3
22.1,0.0126,6.3
22.2,0.01259,6.295
22.3,0.01259,6.295
22.4,0.01259,6.295
22.5,0.0126,6.3
22.6,0.01258,6.29
22.7,0.01258,6.29
22.8,0.01258,6.29
22.9,0.01257,6.285
23,0.01257,6.285
23.1,0.01258,6.29
23.2,0.01257,6.285
23.3,0.01258,6.29
23.4,0.01258,6.29
23.5,0.01257,6.285
23.6,0.01255,6.275
23.7,0.01254,6.27
23.8,0.01254,6.27
23.9,0.01255,6.275
24,0.01254,6.27
24.1,0.01253,6.265
24.2,0.01254,6.27
24.3,0.01253,6.265
24.4,0.01254,6.27
24.5,0.01253,6.265
24.6,0.01253,6.265
24.7,0.01253,6.265
24.8,0.01252,6.26
24.9,0.01252,6.26
25,0.01252,6.26
25.1,0.01251,6.255
25.2,0.01252,6.26
25.3,0.01251,6.255
25.4,0.01252,6.26
25.5,0.01251,6.255
25.6,0.01251,6.255
25.7,0.01251,6.255
25.8,0.0125,6.25
25.9,0.0125,6.25
26,0.01251,6.255
26.1,0.0125,6.25
26.2,0.01249,6.245
26.3,0.01249,6.245
26.4,0.01249,6.245
26.5,0.01249,6.245
26.6,0.01249,6.245
26.7,0.01248,6.24
26.8,0.01247,6.235
26.9,0.01247,6.235
27,0.01247,6.235
27.1,0.01247,6.235
27.2,0.01246,6.23
27.3,0.01246,6.23
27.4,0.01246,6.23
27.5,0.01246,6.23
27.6,0.01246,6.23
27.7,0.01246,6.23
27.8,0.01245,6.225
27.9,0.01246,6.23
28,0.01245,6.225
28.1,0.01244,6.22
28.2,0.01243,6.215
28.3,0.01244,6.22
28.4,0.01244,6.22
28.5,0.01243,6.215
28.6,0.01243,6.215
28.7,0.01242,6.21
28.8,0.01242,6.21
28.9,0.01243,6.215
29,0.01243,6.215
29.1,0.01242,6.21
29.2,0.01242,6.21
29.3,0.0124,6.2
29.4,0.0124,6.2
29.5,0.0124,6.2
29.6,0.01239,6.195
29.7,0.01239,6.195
29.8,0.01239,6.195
29.9,0.01239,6.195
30,0.01238,6.19
30.1,0.01238,6.19
30.2,0.01239,6.195
30.3,0.01238,6.19
30.4,0.01238,6.19
30.5,0.01239,6.195
30.6,0.01239,6.195
30.7,0.01239,6.195
30.8,0.01238,6.19
30.9,0.01238,6.19
31,0.01237,6.185
31.1,0.01237,6.185
31.2,0.01236,6.18
31.3,0.01235,6.175
31.4,0.01236,6.18
31.5,0.01236,6.18
31.6,0.01236,6.18
31.7,0.01236,6.18
31.8,0.01236,6.18
31.9,0.01235,6.175
32,0.01234,6.17
32.1,0.01234,6.17
32.2,0.01234,6.17
32.3,0.01234,6.17
32.4,0.01235,6.175
32.5,0.01235,6.175
32.6,0.01234,6.17
32.7,0.01234,6.17
32.8,0.01234,6.17
32.9,0.01232,6.16
33,0.01233,6.165
33.1,0.01233,6.165
33.2,0.01232,6.16
33.3,0.01231,6.155
33.4,0.01231,6.155
33.5,0.01232,6.16
33.6,0.01231,6.155
33.7,0.01231,6.155
33.8,0.01231,6.155
33.9,0.01231,6.155
34,0.01231,6.155
34.1,0.01231,6.155
34.2,0.01231,6.155
34.3,0.0123,6.15
34.4,0.01229,6.145
34.5,0.01229,6.145
34.6,0.0123,6.15
34.7,0.0123,6.15
34.8,0.01229,6.145
34.9,0.01229,6.145
35,0.0123,6.15
35.1,0.01229,6.145
35.2,0.0123,6.15
35.3,0.01229,6.145
35.4,0.01229,6.145
35.5,0.0123,6.15
35.6,0.01229,6.145
35.7,0.01228,6.14
35.8,0.01228,6.14
35.9,0.01227,6.135
36,0.01227,6.135
36.1,0.01227,6.135
36.2,0.01227,6.135
36.3,0.01227,6.135
36.4,0.01227,6.135
36.5,0.01226,6.13
36.6,0.01227,6.135
36.7,0.01226,6.13
36.8,0.01226,6.13
36.9,0.01224,6.12
37,0.01225,6.125
37.1,0.01225,6.125
37.2,0.01225,6.125
37.3,0.01226,6.13
37.4,0.01225,6.125
37.5,0.01225,6.125
37.6,0.01225,6.125
37.7,0.01224,6.12
37.8,0.01223,6.115
37.9,0.01224,6.12
38,0.01224,6.12
38.1,0.01224,6.12
38.2,0.01223,6.115
38.3,0.01222,6.11
38.4,0.01223,6.115
38.5,0.01222,6.11
38.6,0.01221,6.105
38.7,0.01223,6.115
38.8,0.01222,6.11
38.9,0.01222,6.11
39,0.01221,6.105
39.1,0.01221,6.105
39.2,0.0122,6.1
39.3,0.0122,6.1
39.4,0.0122,6.1
39.5,0.01221,6.105
39.6,0.01221,6.105
39.7,0.01221,6.105
39.8,0.0122,6.1
39.9,0.0122,6.1
40,0.01219,6.095
40.1,0.01219,6.095
40.2,0.0122,6.1
40.3,0.0122,6.1
40.4,0.01219,6.095
40.5,0.01219,6.095
40.6,0.0122,6.1
40.7,0.01219,6.095
40.8,0.0122,6.1
40.9,0.01219,6.095
41,0.01218,6.09
41.1,0.01218,6.09
41.2,0.01218,6.09
41.3,0.01218,6.09
41.4,0.01218,6.09
41.5,0.01218,6.09
41.6,0.01217,6.085
41.7,0.01217,6.085
41.8,0.01218,6.09
41.9,0.01217,6.085
42,0.01216,6.08
42.1,0.01215,6.075
42.2,0.01216,6.08
42.3,0.01215,6.075
42.4,0.01215,6.075
42.5,0.01213,6.065
42.6,0.01214,6.07
42.7,0.01214,6.07
42.8,0.01215,6.075
42.9,0.01215,6.075
43,0.01213,6.065
43.1,0.01213,6.065
43.2,0.01213,6.065
43.3,0.01213,6.065
43.4,0.01213,6.065
43.5,0.01213,6.065
43.6,0.01213,6.065
43.7,0.01213,6.065
43.8,0.01214,6.07
43.9,0.01214,6.07
44,0.01213,6.065
44.1,0.01213,6.065
44.2,0.01213,6.065
44.3,0.01213,6.065
44.4,0.01213,6.065
44.5,0.01212,6.06
44.6,0.01213,6.065
44.7,0.01213,6.065
44.8,0.01213,6.065
44.9,0.01212,6.06
45,0.01212,6.06
45.1,0.01212,6.06
45.2,0.01211,6.055
45.3,0.01211,6.055
45.4,0.01211,6.055
45.5,0.01211,6.055
45.6,0.01211,6.055
45.7,0.01211,6.055
45.8,0.0121,6.05
45.9,0.0121,6.05
46,0.0121,6.05
46.1,0.0121,6.05
46.2,0.01209,6.045
46.3,0.0121,6.05
46.4,0.0121,6.05
46.5,0.01209,6.045
46.6,0.01209,6.045
46.7,0.01209,6.045
46.8,0.01209,6.045
46.9,0.01209,6.045
47,0.01208,6.04
47.1,0.01208,6.04
47.2,0.01207,6.035
47.3,0.01208,6.04
47.4,0.01209,6.045
47.5,0.01208,6.04
47.6,0.01207,6.035
47.7,0.01207,6.035
47.8,0.01208,6.04
47.9,0.01207,6.035
48,0.01206,6.03
48.1,0.01207,6.035
48.2,0.01207,6.035
48.3,0.01207,6.035
48.4,0.01207,6.035
48.5,0.01206,6.03
48.6,0.01207,6.035
48.7,0.01207,6.035
48.8,0.01206,6.03
48.9,0.01205,6.025
49,0.01205,6.025
49.1,0.01206,6.03
49.2,0.01205,6.025
49.3,0.01206,6.03
49.4,0.01206,6.03
49.5,0.01205,6.025
49.6,0.01204,6.02
49.7,0.01204,6.02
49.8,0.01205,6.025
49.9,0.01204,6.02
50,0.01204,6.02
50.1,0.01204,6.02
50.2,0.01204,6.02
50.3,0.01204,6.02
50.4,0.01204,6.02
50.5,0.01203,6.015
50.6,0.01203,6.015
50.7,0.01203,6.015
50.8,0.01202,6.01
50.9,0.01203,6.015
51,0.01203,6.015
51.1,0.01202,6.01
51.2,0.01202,6.01
51.3,0.01203,6.015
51.4,0.01203,6.015
51.5,0.01202,6.01
51.6,0.01201,6.005
51.7,0.01201,6.005
51.8,0.01202,6.01
51.9,0.01202,6.01
52,0.01201,6.005
52.1,0.012,6
52.2,0.01201,6.005
52.3,0.01201,6.005
52.4,0.01201,6.005
52.5,0.012,6
52.6,0.012,6
52.7,0.012,6
52.8,0.01199,5.995
52.9,0.01199,5.995
53,0.012,6
53.1,0.01199,5.995
53.2,0.012,6
53.3,0.01199,5.995
53.4,0.01199,5.995
53.5,0.01198,5.99
53.6,0.01198,5.99
53.7,0.01199,5.995
53.8,0.01199,5.995
53.9,0.01198,5.99
54,0.01199,5.995
54.1,0.01198,5.99
54.2,0.01199,5.995
54.3,0.01198,5.99
54.4,0.01197,5.985
54.5,0.01198,5.99
54.6,0.01198,5.99
54.7,0.01197,5.985
54.8,0.01197,5.985
54.9,0.01196,5.98
55,0.01196,5.98
55.1,0.01197,5.985
55.2,0.01196,5.98
55.3,0.01196,5.98
55.4,0.01196,5.98
55.5,0.01196,5.98
55.6,0.01196,5.98
55.7,0.01196,5.98
55.8,0.01196,5.98
55.9,0.01195,5.975
56,0.01196,5.98
56.1,0.01196,5.98
56.2,0.01195,5.975
56.3,0.01195,5.975
56.4,0.01195,5.975
56.5,0.01195,5.975
56.6,0.01195,5.975
56.7,0.01195,5.975
56.8,0.01195,5.975
56.9,0.01194,5.97
57,0.01193,5.965
57.1,0.01193,5.965
57.2,0.01193,5.965
57.3,0.01194,5.97
57.4,0.01194,5.97
57.5,0.01194,5.97
57.6,0.01194,5.97
57.7,0.01195,5.975
57.8,0.01194,5.97
57.9,0.01193,5.965
58,0.01193,5.965
58.1,0.01193,5.965
58.2,0.01192,5.96
58.3,0.01193,5.965
58.4,0.01193,5.965
58.5,0.01193,5.965
58.6,0.01193,5.965
58.7,0.01193,5.965
58.8,0.01194,5.97
58.9,0.01193,5.965
59,0.01193,5.965
59.1,0.01193,5.965
59.2,0.01193,5.965
59.3,0.01192,5.96
59.4,0.01192,5.96
59.5,0.01193,5.965
59.6,0.01193,5.965
59.7,0.01192,5.96
59.8,0.01193,5.965
59.9,0.01192,5.96
60,0.01191,5.955
60.1,0.01191,5.955
60.2,0.01191,5.955
60.3,0.0119,5.95
60.4,0.01189,5.945
60.5,0.0119,5.95
60.6,0.0119,5.95
60.7,0.0119,5.95
60.8,0.01189,5.945
60.9,0.01189,5.945
61,0.0119,5.95
61.1,0.01189,5.945
61.2,0.01189,5.945
61.3,0.01189,5.945
61.4,0.01189,5.945
61.5,0.01189,5.945
61.6,0.01188,5.94
61.7,0.01188,5.94
61.8,0.01189,5.945
61.9,0.01189,5.945
62,0.01189,5.945
62.1,0.01189,5.945
62.2,0.01189,5.945
62.3,0.01188,5.94
62.4,0.01188,5.94
62.5,0.01189,5.945
62.6,0.01189,5.945
62.7,0.01188,5.94
62.8,0.01188,5.94
62.9,0.01187,5.935
63,0.01188,5.94
63.1,0.01187,5.935
63.2,0.01187,5.935
63.3,0.01187,5.935
63.4,0.01187,5.935
63.5,0.01187,5.935
63.6,0.01186,5.93
63.7,0.01186,5.93
63.8,0.01186,5.93
63.9,0.01187,5.935
64,0.01186,5.93
64.1,0.01186,5.93
64.2,0.01185,5.925
64.3,0.01185,5.925
64.4,0.01186,5.93
64.5,0.01186,5.93
64.6,0.01186,5.93
64.7,0.01186,5.93
64.8,0.01185,5.925
64.9,0.01185,5.925
65,0.01185,5.925
65.1,0.01185,5.925
65.2,0.01184,5.92
65.3,0.01184,5.92
65.4,0.01185,5.925
65.5,0.01185,5.925
65.6,0.01185,5.925
65.7,0.01184,5.92
65.8,0.01184,5.92
65.9,0.01184,5.92
66,0.01184,5.92
66.1,0.01183,5.915
66.2,0.01184,5.92
66.3,0.01184,5.92
66.4,0.01184,5.92
66.5,0.01185,5.925
66.6,0.01184,5.92
66.7,0.01184,5.92
66.8,0.01183,5.915
66.9,0.01183,5.915
67,0.01183,5.915
67.1,0.01183,5.915
67.2,0.01182,5.91
67.3,0.01183,5.915
67.4,0.01183,5.915
67.5,0.01184,5.92
67.6,0.01185,5.925
67.7,0.01184,5.92
67.8,0.01183,5.915
67.9,0.01183,5.915
68,0.01183,5.915
68.1,0.01183,5.915
68.2,0.01183,5.915
68.3,0.01183,5.915
68.4,0.01182,5.91
68.5,0.01181,5.905
68.6,0.01181,5.905
68.7,0.01183,5.915
68.8,0.01183,5.915
68.9,0.01183,5.915
69,0.01182,5.91
69.1,0.01182,5.91
69.2,0.01183,5.915
69.3,0.01182,5.91
69.4,0.01182,5.91
69.5,0.01181,5.905
69.6,0.01182,5.91
69.7,0.01181,5.905
69.8,0.01182,5.91
69.9,0.01181,5.905
70,0.0118,5.9
70.1,0.0118,5.9
70.2,0.01181,5.905
70.3,0.01181,5.905
70.4,0.0118,5.9
70.5,0.01181,5.905
70.6,0.0118,5.9
70.7,0.01179,5.895
70.8,0.0118,5.9
70.9,0.01179,5.895
71,0.01179,5.895
71.1,0.01179,5.895
71.2,0.0118,5.9
71.3,0.01179,5.895
71.4,0.01179,5.895
71.5,0.0118,5.9
71.6,0.0118,5.9
71.7,0.01179,5.895
71.8,0.01178,5.89
71.9,0.01179,5.895
72,0.01179,5.895
72.1,0.01178,5.89
72.2,0.01179,5.895
72.3,0.01179,5.895
72.4,0.01179,5.895
72.5,0.01179,5.895
72.6,0.01177,5.885
72.7,0.01177,5.885
72.8,0.01177,5.885
72.9,0.01178,5.89
73,0.01178,5.89
73.1,0.01177,5.885
73.2,0.01177,5.885
73.3,0.01176,5.88
73.4,0.01176,5.88
73.5,0.01177,5.885
73.6,0.01178,5.89
73.7,0.01177,5.885
73.8,0.01177,5.885
73.9,0.01176,5.88
74,0.01177,5.885
74.1,0.01176,5.88
74.2,0.01176,5.88
74.3,0.01176,5.88
74.4,0.01177,5.885
74.5,0.01177,5.885
74.6,0.01176,5.88
74.7,0.01176,5.88
74.8,0.01176,5.88
74.9,0.01175,5.875
75,0.01174,5.87
75.1,0.01176,5.88
75.2,0.01175,5.875
75.3,0.01174,5.87
75.4,0.01175,5.875
75.5,0.01175,5.875
75.6,0.01175,5.875
75.7,0.01175,5.875
75.8,0.01176,5.88
75.9,0.01175,5.875
76,0.01174,5.87
76.1,0.01175,5.875
76.2,0.01174,5.87
76.3,0.01175,5.875
76.4,0.01175,5.875
76.5,0.01175,5.875
76.6,0.01174,5.87
76.7,0.01174,5.87
76.8,0.01174,5.87
76.9,0.01174,5.87
77,0.01174,5.87
77.1,0.01175,5.875
77.2,0.01174,5.87
77.3,0.01174,5.87
77.4,0.01174,5.87
77.5,0.01174,5.87
77.6,0.01174,5.87
77.7,0.01174,5.87
77.8,0.01174,5.87
77.9,0.01174,5.87
78,0.01174,5.87
78.1,0.01174,5.87
78.2,0.01174,5.87
78.3,0.01174,5.87
78.4,0.01173,5.865
78.5,0.01173,5.865
78.6,0.01173,5.865
78.7,0.01173,5.865
78.8,0.01173,5.865
78.9,0.01172,5.86
79,0.01171,5.855
79.1,0.01172,5.86
79.2,0.01172,5.86
79.3,0.01171,5.855
79.4,0.01172,5.86
79.5,0.01172,5.86
79.6,0.01171,5.855
79.7,0.01171,5.855
79.8,0.01171,5.855
79.9,0.01171,5.855
80,0.01171,5.855
80.1,0.01171,5.855
80.2,0.01171,5.855
80.3,0.01171,5.855
80.4,0.01171,5.855
80.5,0.01171,5.855
80.6,0.01171,5.855
80.7,0.01171,5.855
80.8,0.0117,5.85
80.9,0.01171,5.855
81,0.01171,5.855
81.1,0.01171,5.855
81.2,0.01171,5.855
81.3,0.01171,5.855
81.4,0.01171,5.855
81.5,0.0117,5.85
81.6,0.0117,5.85
81.7,0.0117,5.85
81.8,0.01169,5.845
81.9,0.01169,5.845
82,0.0117,5.85
82.1,0.01169,5.845
82.2,0.01169,5.845
82.3,0.01169,5.845
82.4,0.0117,5.85
82.5,0.01169,5.845
82.6,0.01169,5.845
82.7,0.01168,5.84
82.8,0.01169,5.845
82.9,0.01169,5.845
83,0.01169,5.845
83.1,0.01168,5.84
83.2,0.01168,5.84
83.3,0.01168,5.84
83.4,0.01169,5.845
83.5,0.01169,5.845
83.6,0.01169,5.845
83.7,0.01168,5.84
83.8,0.01168,5.84
83.9,0.01169,5.845
84,0.0117,5.85
84.1,0.0117,5.85
84.2,0.0117,5.85
84.3,0.01169,5.845
84.4,0.01169,5.845
84.5,0.01169,5.845
84.6,0.01169,5.845
84.7,0.01169,5.845
84.8,0.01169,5.845
84.9,0.01168,5.84
85,0.01168,5.84
85.1,0.01169,5.845
85.2,0.01168,5.84
85.3,0.01168,5.84
85.4,0.01168,5.84
85.5,0.01168,5.84
85.6,0.01168,5.84
85.7,0.01167,5.835
85.8,0.01167,5.835
85.9,0.01167,5.835
86,0.01167,5.835
86.1,0.01168,5.84
86.2,0.01167,5.835
86.3,0.01167,5.835
86.4,0.01167,5.835
86.5,0.01167,5.835
86.6,0.01168,5.84
86.7,0.01167,5.835
86.8,0.01168,5.84
86.9,0.01167,5.835
87,0.01166,5.83
87.1,0.01166,5.83
87.2,0.01166,5.83
87.3,0.01166,5.83
87.4,0.01166,5.83
87.5,0.01166,5.83
87.6,0.01166,5.83
87.7,0.01166,5.83
87.8,0.01166,5.83
87.9,0.01166,5.83
88,0.01166,5.83
88.1,0.01165,5.825
88.2,0.01165,5.825
88.3,0.01166,5.83
88.4,0.01165,5.825
88.5,0.01165,5.825
88.6,0.01165,5.825
88.7,0.01165,5.825
88.8,0.01165,5.825
88.9,0.01165,5.825
89,0.01165,5.825
89.1,0.01166,5.83
89.2,0.01165,5.825
89.3,0.01165,5.825
89.4,0.01165,5.825
89.5,0.01165,5.825
89.6,0.01165,5.825
89.7,0.01165,5.825
89.8,0.01165,5.825
89.9,0.01165,5.825
90,0.01166,5.83
90.1,0.01165,5.825
90.2,0.01165,5.825
90.3,0.01164,5.82
90.4,0.01164,5.82
90.5,0.01164,5.82
90.6,0.01164,5.82
90.7,0.01164,5.82
90.8,0.01163,5.815
90.9,0.01163,5.815
91,0.01163,5.815
91.1,0.01163,5.815
91.2,0.01164,5.82
91.3,0.01165,5.825
91.4,0.01164,5.82
91.5,0.01163,5.815
91.6,0.01163,5.815
91.7,0.01162,5.81
91.8,0.01163,5.815
91.9,0.01164,5.82
92,0.01163,5.815
92.1,0.01162,5.81
92.2,0.01162,5.81
92.3,0.01163,5.815
92.4,0.01163,5.815
92.5,0.01163,5.815
92.6,0.01162,5.81
92.7,0.01161,5.805
92.8,0.01161,5.805
92.9,0.01162,5.81
93,0.01161,5.805
93.1,0.01161,5.805
93.2,0.01161,5.805
93.3,0.01161,5.805
93.4,0.01162,5.81
93.5,0.01161,5.805
93.6,0.01161,5.805
93.7,0.01162,5.81
93.8,0.01163,5.815
93.9,0.01162,5.81
94,0.01162,5.81
94.1,0.01161,5.805
94.2,0.01161,5.805
94.3,0.01161,5.805
94.4,0.01162,5.81
94.5,0.01162,5.81
94.6,0.01161,5.805
94.7,0.01161,5.805
94.8,0.01161,5.805
94.9,0.0116,5.8
95,0.0116,5.8
95.1,0.01161,5.805
95.2,0.01161,5.805
95.3,0.01161,5.805
95.4,0.01161,5.805
95.5,0.01162,5.81
95.6,0.01161,5.805
95.7,0.0116,5.8
95.8,0.0116,5.8
95.9,0.0116,5.8
96,0.0116,5.8
96.1,0.0116,5.8
96.2,0.0116,5.8
96.3,0.0116,5.8
96.4,0.0116,5.8
96.5,0.0116,5.8
96.6,0.01161,5.805
96.7,0.01161,5.805
96.8,0.0116,5.8
96.9,0.0116,5.8
97,0.01159,5.795
97.1,0.01158,5.79
97.2,0.01159,5.795
97.3,0.0116,5.8
97.4,0.0116,5.8
97.5,0.0116,5.8
97.6,0.01159,5.795
97.7,0.01158,5.79
97.8,0.01158,5.79
97.9,0.01159,5.795
98,0.01159,5.795
98.1,0.01159,5.795
98.2,0.01158,5.79
98.3,0.01158,5.79
98.4,0.01158,5.79
98.5,0.01158,5.79
98.6,0.01158,5.79
98.7,0.01158,5.79
98.8,0.01158,5.79
98.9,0.01157,5.785
99,0.01157,5.785
99.1,0.01157,5.785
99.2,0.01157,5.785
99.3,0.01157,5.785
99.4,0.01158,5.79
99.5,0.01158,5.79
99.6,0.01157,5.785
99.7,0.01158,5.79
99.8,0.01157,5.785
99.9,0.01158,5.79
100,0.01158,5.79
100.1,0.01157,5.785
100.2,0.01157,5.785
100.3,0.01157,5.785
100.4,0.01157,5.785
100.5,0.01156,5.78
100.6,0.01156,5.78
100.7,0.01157,5.785
100.8,0.01156,5.78
100.9,0.01156,5.78
101,0.01156,5.78
101.1,0.01155,5.775
101.2,0.01156,5.78
101.3,0.01155,5.775
101.4,0.01156,5.78
101.5,0.01155,5.775
101.6,0.01155,5.775
101.7,0.01155,5.775
101.8,0.01156,5.78
101.9,0.01156,5.78
102,0.01155,5.775
102.1,0.01156,5.78
102.2,0.01156,5.78
102.3,0.01155,5.775
102.4,0.01155,5.775
102.5,0.01155,5.775
102.6,0.01155,5.775
102.7,0.01155,5.775
102.8,0.01154,5.77
102.9,0.01154,5.77
103,0.01154,5.77
103.1,0.01154,5.77
103.2,0.01154,5.77
103.3,0.01154,5.77
103.4,0.01154,5.77
103.5,0.01154,5.77
103.6,0.01153,5.765
103.7,0.01153,5.765
103.8,0.01153,5.765
103.9,0.01154,5.77
104,0.01154,5.77
104.1,0.01154,5.77
104.2,0.01153,5.765
104.3,0.01153,5.765
104.4,0.01153,5.765
104.5,0.01153,5.765
104.6,0.01153,5.765
104.7,0.01154,5.77
104.8,0.01154,5.77
104.9,0.01154,5.77
105,0.01153,5.765
105.1,0.01154,5.77
105.2,0.01154,5.77
105.3,0.01154,5.77
105.4,0.01154,5.77
105.5,0.01153,5.765
105.6,0.01153,5.765
105.7,0.01153,5.765
105.8,0.01152,5.76
105.9,0.01152,5.76
106,0.01152,5.76
106.1,0.01153,5.765
106.2,0.01153,5.765
106.3,0.01153,5.765
106.4,0.01152,5.76
106.5,0.01153,5.765
106.6,0.01152,5.76
106.7,0.01152,5.76
106.8,0.01152,5.76
106.9,0.01152,5.76
107,0.01152,5.76
107.1,0.01152,5.76
107.2,0.01153,5.765
107.3,0.01153,5.765
107.4,0.01152,5.76
107.5,0.01152,5.76
107.6,0.01152,5.76
107.7,0.01152,5.76
107.8,0.01151,5.755
107.9,0.01152,5.76
108,0.01152,5.76
108.1,0.01151,5.755
108.2,0.01151,5.755
