Sept. 9, 2026   16:46:25
Linear Sweep Voltammetry
File: ni_foil_lsv 2.3 ohm.bin
Data Source:  Experiment
Instrument Model:  CHI660D
Header: 
Note: 

Init E (V) = 0
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Results:

Channel 1:
0.068, -7.186e-6
0.069, -7.186e-6
0.070, -6.796e-6
0.071, -7.186e-6
0.072, -7.499e-6
0.073, -7.420e-6
0.074, -7.577e-6
0.075, -6.952e-6
0.076, -7.655e-6
0.077, -7.733e-6
0.078, -7.889e-6
0.079, -7.655e-6
0.080, -7.342e-6
0.081, -7.499e-6
0.082, -7.420e-6
0.083, -7.420e-6
0.084, -7.420e-6
0.085, -7.655e-6
0.086, -7.186e-6
0.087, -7.108e-6
0.088, -7.577e-6
0.089, -7.499e-6
0.090, -7.889e-6
0.091, -7.499e-6
0.092, -7.499e-6
0.093, -7.655e-6
0.094, -7.420e-6
0.095, -7.342e-6
0.096, -8.123e-6
0.097, -7.499e-6
0.098, -7.264e-6
0.099, -7.030e-6
0.100, -7.499e-6
0.101, -7.342e-6
0.102, -7.420e-6
0.103, -7.577e-6
0.104, -7.342e-6
0.105, -6.874e-6
0.106, -7.420e-6
0.107, -7.342e-6
0.108, -7.499e-6
0.109, -6.952e-6
0.110, -7.420e-6
0.111, -7.342e-6
0.112, -7.186e-6
0.113, -7.342e-6
0.114, -7.108e-6
0.115, -7.264e-6
0.116, -7.186e-6
0.117, -7.108e-6
0.118, -6.874e-6
0.119, -7.030e-6
0.120, -6.717e-6
0.121, -6.952e-6
0.122, -7.030e-6
0.123, -7.264e-6
0.124, -7.030e-6
0.125, -6.639e-6
0.126, -6.796e-6
0.127, -7.186e-6
0.128, -6.952e-6
0.129, -6.952e-6
0.130, -7.186e-6
0.131, -6.796e-6
0.132, -6.405e-6
0.133, -6.874e-6
0.134, -6.796e-6
0.135, -6.796e-6
0.136, -6.952e-6
0.137, -6.717e-6
0.138, -6.874e-6
0.139, -6.639e-6
0.140, -6.874e-6
0.141, -6.796e-6
0.142, -6.796e-6
0.143, -6.561e-6
0.144, -6.561e-6
0.145, -6.249e-6
0.146, -6.014e-6
0.147, -6.014e-6
0.148, -6.327e-6
0.149, -6.483e-6
0.150, -6.561e-6
0.151, -6.796e-6
0.152, -6.327e-6
0.153, -6.483e-6
0.154, -6.952e-6
0.155, -7.108e-6
0.156, -6.561e-6
0.157, -6.796e-6
0.158, -6.796e-6
0.159, -6.874e-6
0.160, -6.874e-6
0.161, -6.874e-6
0.162, -6.874e-6
0.163, -6.639e-6
0.164, -6.717e-6
0.165, -6.874e-6
0.166, -6.483e-6
0.167, -6.717e-6
0.168, -6.796e-6
0.169, -6.483e-6
0.170, -6.639e-6
0.171, -6.561e-6
0.172, -6.171e-6
0.173, -6.483e-6
0.174, -6.639e-6
0.175, -6.327e-6
0.176, -6.796e-6
0.177, -6.483e-6
0.178, -6.561e-6
0.179, -6.561e-6
0.180, -7.030e-6
0.181, -6.483e-6
0.182, -6.561e-6
0.183, -6.717e-6
0.184, -6.405e-6
0.185, -6.639e-6
0.186, -6.874e-6
0.187, -6.327e-6
0.188, -6.405e-6
0.189, -6.639e-6
0.190, -6.561e-6
0.191, -6.796e-6
0.192, -6.796e-6
0.193, -6.639e-6
0.194, -6.874e-6
0.195, -6.561e-6
0.196, -6.249e-6
0.197, -5.936e-6
0.198, -6.093e-6
0.199, -5.858e-6
0.200, -6.171e-6
0.201, -5.936e-6
0.202, -5.936e-6
0.203, -6.249e-6
0.204, -6.171e-6
0.205, -6.093e-6
0.206, -5.780e-6
0.207, -5.936e-6
0.208, -6.014e-6
0.209, -6.249e-6
0.210, -6.327e-6
0.211, -6.639e-6
0.212, -6.327e-6
0.213, -6.249e-6
0.214, -6.014e-6
0.215, -6.327e-6
0.216, -6.405e-6
0.217, -6.249e-6
0.218, -6.014e-6
0.219, -6.014e-6
0.220, -6.014e-6
0.221, -6.483e-6
0.222, -6.249e-6
0.223, -5.858e-6
0.224, -6.171e-6
0.225, -5.936e-6
0.226, -6.483e-6
0.227, -5.936e-6
0.228, -5.624e-6
0.229, -6.014e-6
0.230, -6.093e-6
0.231, -6.171e-6
0.232, -6.093e-6
0.233, -6.171e-6
0.234, -5.858e-6
0.235, -5.780e-6
0.236, -5.780e-6
0.237, -6.014e-6
0.238, -5.624e-6
0.239, -5.468e-6
0.240, -5.624e-6
0.241, -5.546e-6
0.242, -5.702e-6
0.243, -5.468e-6
0.244, -5.233e-6
0.245, -5.077e-6
0.246, -5.233e-6
0.247, -5.390e-6
0.248, -4.999e-6
0.249, -5.233e-6
0.250, -4.921e-6
0.251, -4.765e-6
0.252, -4.609e-6
0.253, -4.687e-6
0.254, -4.609e-6
0.255, -4.296e-6
0.256, -4.765e-6
0.257, -4.765e-6
0.258, -5.312e-6
0.259, -4.999e-6
0.260, -4.687e-6
0.261, -4.765e-6
0.262, -4.687e-6
0.263, -4.843e-6
0.264, -4.687e-6
0.265, -4.687e-6
0.266, -4.687e-6
0.267, -4.218e-6
0.268, -4.140e-6
0.269, -4.374e-6
0.270, -4.452e-6
0.271, -4.062e-6
0.272, -4.374e-6
0.273, -4.140e-6
0.274, -4.296e-6
0.275, -4.296e-6
0.276, -4.296e-6
0.277, -3.906e-6
0.278, -3.827e-6
0.279, -3.906e-6
0.280, -4.062e-6
0.281, -3.827e-6
0.282, -4.062e-6
0.283, -3.749e-6
0.284, -3.827e-6
0.285, -3.749e-6
0.286, -3.593e-6
0.287, -3.593e-6
0.288, -3.671e-6
0.289, -3.671e-6
0.290, -3.671e-6
0.291, -3.515e-6
0.292, -3.281e-6
0.293, -2.890e-6
0.294, -3.203e-6
0.295, -2.968e-6
0.296, -2.500e-6
0.297, -2.734e-6
0.298, -2.421e-6
0.299, -2.421e-6
0.300, -2.500e-6
0.301, -2.265e-6
0.302, -2.968e-6
0.303, -2.500e-6
0.304, -2.500e-6
0.305, -2.343e-6
0.306, -2.421e-6
0.307, -2.031e-6
0.308, -1.718e-6
0.309, -1.875e-6
0.310, -1.953e-6
0.311, -1.718e-6
0.312, -1.718e-6
0.313, -1.875e-6
0.314, -1.797e-6
0.315, -1.250e-6
0.316, -9.373e-7
0.317, -8.592e-7
0.318, -1.250e-6
0.319, -8.592e-7
0.320, -8.592e-7
0.321, -1.562e-7
0.322, -3.906e-7
0.323, -1.406e-6
0.324, -8.592e-7
0.325, -8.592e-7
0.326, -9.373e-7
0.327, -5.468e-7
0.328, -8.592e-7
0.329, -4.687e-7
0.330, -3.906e-7
0.331, 2.343e-7
0.332, -2.343e-7
0.333, -1.562e-7
0.334, 3.905e-7
0.335, -4.283e-12
0.336, 3.905e-7
0.337, 3.905e-7
0.338, -1.562e-7
0.339, -1.562e-7
0.340, 1.562e-7
0.341, 7.811e-8
0.342, 3.124e-7
0.343, 5.468e-7
0.344, 2.343e-7
0.345, 3.905e-7
0.346, 4.687e-7
0.347, 3.905e-7
0.348, 7.811e-7
0.349, 9.373e-7
0.350, 1.172e-6
0.351, 1.250e-6
0.352, 7.811e-7
0.353, 8.592e-7
0.354, 1.172e-6
0.355, 1.172e-6
0.356, 1.250e-6
0.357, 1.562e-6
0.358, 1.250e-6
0.359, 1.406e-6
0.360, 1.406e-6
0.361, 1.718e-6
0.362, 1.562e-6
0.363, 1.797e-6
0.364, 2.031e-6
0.365, 2.187e-6
0.366, 2.187e-6
0.367, 2.656e-6
0.368, 2.500e-6
0.369, 2.421e-6
0.370, 2.734e-6
0.371, 2.812e-6
0.372, 2.812e-6
0.373, 2.968e-6
0.374, 3.281e-6
0.375, 3.203e-6
0.376, 3.359e-6
0.377, 3.671e-6
0.378, 3.984e-6
0.379, 4.062e-6
0.380, 3.671e-6
0.381, 3.906e-6
0.382, 4.452e-6
0.383, 4.609e-6
0.384, 4.609e-6
0.385, 4.843e-6
0.386, 5.546e-6
0.387, 5.390e-6
0.388, 5.311e-6
0.389, 5.702e-6
0.390, 6.249e-6
0.391, 5.936e-6
0.392, 6.014e-6
0.393, 6.639e-6
0.394, 7.108e-6
0.395, 7.186e-6
0.396, 7.264e-6
0.397, 7.342e-6
0.398, 7.733e-6
0.399, 7.811e-6
0.400, 8.358e-6
0.401, 8.983e-6
0.402, 8.983e-6
0.403, 1.023e-5
0.404, 1.008e-5
0.405, 1.062e-5
0.406, 1.156e-5
0.407, 1.219e-5
0.408, 1.320e-5
0.409, 1.219e-5
0.410, 1.476e-5
0.411, 1.625e-5
0.412, 1.851e-5
0.413, 2.070e-5
0.414, 2.296e-5
0.415, 2.749e-5
0.416, 3.163e-5
0.417, 3.757e-5
0.418, 4.444e-5
0.419, 5.460e-5
0.420, 6.686e-5
0.421, 8.288e-5
0.422, 1.019e-4
0.423, 1.279e-4
0.424, 1.601e-4
0.425, 2.015e-4
0.426, 2.539e-4
0.427, 3.206e-4
0.428, 3.968e-4
0.429, 4.748e-4
0.430, 5.511e-4
0.431, 6.248e-4
0.432, 6.942e-4
0.433, 7.606e-4
0.434, 8.191e-4
0.435, 8.716e-4
0.436, 9.076e-4
0.437, 9.276e-4
0.438, 9.348e-4
0.439, 9.258e-4
0.440, 9.026e-4
0.441, 8.681e-4
0.442, 8.217e-4
0.443, 7.722e-4
0.444, 7.196e-4
0.445, 6.673e-4
0.446, 6.189e-4
0.447, 5.716e-4
0.448, 5.257e-4
0.449, 4.875e-4
0.450, 4.517e-4
0.451, 4.213e-4
0.452, 3.947e-4
0.453, 3.695e-4
0.454, 3.481e-4
0.455, 3.287e-4
0.456, 3.104e-4
0.457, 2.949e-4
0.458, 2.808e-4
0.459, 2.671e-4
0.460, 2.546e-4
0.461, 2.439e-4
0.462, 2.329e-4
0.463, 2.238e-4
0.464, 2.139e-4
0.465, 2.047e-4
0.466, 1.967e-4
0.467, 1.893e-4
0.468, 1.820e-4
0.469, 1.754e-4
0.470, 1.683e-4
0.471, 1.637e-4
0.472, 1.579e-4
0.473, 1.522e-4
0.474, 1.467e-4
0.475, 1.425e-4
0.476, 1.381e-4
0.477, 1.347e-4
0.478, 1.304e-4
0.479, 1.274e-4
0.480, 1.229e-4
0.481, 1.201e-4
0.482, 1.169e-4
0.483, 1.140e-4
0.484, 1.112e-4
0.485, 1.084e-4
0.486, 1.062e-4
0.487, 1.039e-4
0.488, 1.011e-4
0.489, 9.975e-5
0.490, 9.733e-5
0.491, 9.584e-5
0.492, 9.334e-5
0.493, 9.139e-5
0.494, 8.967e-5
0.495, 8.850e-5
0.496, 8.647e-5
0.497, 8.553e-5
0.498, 8.475e-5
0.499, 8.248e-5
0.500, 8.194e-5
0.501, 8.069e-5
0.502, 7.959e-5
0.503, 7.905e-5
0.504, 7.749e-5
0.505, 7.686e-5
0.506, 7.545e-5
0.507, 7.452e-5
0.508, 7.405e-5
0.509, 7.374e-5
0.510, 7.256e-5
0.511, 7.280e-5
0.512, 7.280e-5
0.513, 7.108e-5
0.514, 7.014e-5
0.515, 6.944e-5
0.516, 6.936e-5
0.517, 6.905e-5
0.518, 6.796e-5
0.519, 6.796e-5
0.520, 6.702e-5
0.521, 6.593e-5
0.522, 6.593e-5
0.523, 6.632e-5
0.524, 6.546e-5
0.525, 6.475e-5
0.526, 6.382e-5
0.527, 6.468e-5
0.528, 6.366e-5
0.529, 6.366e-5
0.530, 6.311e-5
0.531, 6.288e-5
0.532, 6.257e-5
0.533, 6.249e-5
0.534, 6.218e-5
0.535, 6.210e-5
0.536, 6.147e-5
0.537, 6.171e-5
0.538, 6.108e-5
0.539, 6.139e-5
0.540, 6.085e-5
0.541, 6.038e-5
0.542, 6.054e-5
0.543, 6.163e-5
0.544, 6.069e-5
0.545, 6.030e-5
0.546, 5.999e-5
0.547, 6.061e-5
0.548, 6.054e-5
0.549, 6.022e-5
0.550, 5.983e-5
0.551, 6.093e-5
0.552, 5.999e-5
0.553, 6.038e-5
0.554, 6.038e-5
0.555, 6.108e-5
0.556, 6.093e-5
0.557, 6.108e-5
0.558, 6.116e-5
0.559, 6.194e-5
0.560, 6.179e-5
0.561, 6.241e-5
0.562, 6.311e-5
0.563, 6.350e-5
0.564, 6.319e-5
0.565, 6.428e-5
0.566, 6.413e-5
0.567, 6.553e-5
0.568, 6.632e-5
0.569, 6.733e-5
0.570, 6.811e-5
0.571, 6.889e-5
0.572, 6.928e-5
0.573, 7.092e-5
0.574, 7.225e-5
0.575, 7.381e-5
0.576, 7.444e-5
0.577, 7.647e-5
0.578, 7.788e-5
0.579, 7.983e-5
0.580, 8.178e-5
0.581, 8.319e-5
0.582, 8.561e-5
0.583, 8.787e-5
0.584, 9.069e-5
0.585, 9.342e-5
0.586, 9.576e-5
0.587, 9.904e-5
0.588, 1.019e-4
0.589, 1.054e-4
0.590, 1.087e-4
0.591, 1.131e-4
0.592, 1.165e-4
0.593, 1.212e-4
0.594, 1.258e-4
0.595, 1.307e-4
0.596, 1.355e-4
0.597, 1.410e-4
0.598, 1.459e-4
0.599, 1.526e-4
0.600, 1.586e-4
0.601, 1.653e-4
0.602, 1.722e-4
0.603, 1.800e-4
0.604, 1.869e-4
0.605, 1.950e-4
0.606, 2.036e-4
0.607, 2.134e-4
0.608, 2.227e-4
0.609, 2.331e-4
0.610, 2.433e-4
0.611, 2.542e-4
0.612, 2.655e-4
0.613, 2.779e-4
0.614, 2.898e-4
0.615, 3.028e-4
0.616, 3.165e-4
0.617, 3.312e-4
0.618, 3.470e-4
0.619, 3.634e-4
0.620, 3.800e-4
0.621, 3.974e-4
0.622, 4.160e-4
0.623, 4.357e-4
0.624, 4.564e-4
0.625, 4.790e-4
0.626, 5.016e-4
0.627, 5.253e-4
0.628, 5.500e-4
0.629, 5.764e-4
0.630, 6.040e-4
0.631, 6.325e-4
0.632, 6.609e-4
0.633, 6.911e-4
0.634, 7.241e-4
0.635, 7.563e-4
0.636, 7.894e-4
0.637, 8.251e-4
0.638, 8.638e-4
0.639, 9.023e-4
0.640, 9.404e-4
0.641, 9.824e-4
0.642, 1.025e-3
0.643, 1.070e-3
0.644, 1.118e-3
0.645, 1.164e-3
0.646, 1.213e-3
0.647, 1.262e-3
0.648, 1.313e-3
0.649, 1.370e-3
0.650, 1.426e-3
0.651, 1.482e-3
0.652, 1.542e-3
0.653, 1.605e-3
0.654, 1.666e-3
0.655, 1.729e-3
0.656, 1.796e-3
0.657, 1.871e-3
0.658, 1.941e-3
0.659, 2.011e-3
0.660, 2.084e-3
0.661, 2.159e-3
0.662, 2.234e-3
0.663, 2.315e-3
0.664, 2.399e-3
0.665, 2.480e-3
0.666, 2.566e-3
0.667, 2.654e-3
0.668, 2.741e-3
0.669, 2.834e-3
0.670, 2.930e-3
0.671, 3.026e-3
0.672, 3.124e-3
0.673, 3.224e-3
0.674, 3.327e-3
0.675, 3.430e-3
0.676, 3.536e-3
0.677, 3.642e-3
0.678, 3.746e-3
0.679, 3.856e-3
0.680, 3.970e-3
0.681, 4.088e-3
0.682, 4.205e-3
0.683, 4.329e-3
0.684, 4.451e-3
0.685, 4.578e-3
0.686, 4.700e-3
0.687, 4.826e-3
0.688, 4.951e-3
0.689, 5.078e-3
0.690, 5.202e-3
0.691, 5.338e-3
0.692, 5.475e-3
0.693, 5.615e-3
0.694, 5.753e-3
0.695, 5.896e-3
0.696, 6.038e-3
0.697, 6.171e-3
0.698, 6.318e-3
0.699, 6.467e-3
0.700, 6.615e-3
0.701, 6.763e-3
0.702, 6.926e-3
0.703, 7.079e-3
0.704, 7.229e-3
0.705, 7.386e-3
0.706, 7.545e-3
0.707, 7.707e-3
0.708, 7.874e-3
0.709, 8.038e-3
0.710, 8.209e-3
0.711, 8.373e-3
0.712, 8.549e-3
0.713, 8.719e-3
0.714, 8.884e-3
0.715, 9.061e-3
0.716, 9.236e-3
0.717, 9.419e-3
0.718, 9.590e-3
0.719, 9.771e-3
0.720, 9.944e-3
0.721, 1.013e-2
0.722, 1.031e-2
0.723, 1.050e-2
0.724, 1.069e-2
0.725, 1.087e-2
0.726, 1.105e-2
0.727, 1.125e-2
0.728, 1.144e-2
0.729, 1.163e-2
0.730, 1.182e-2
0.731, 1.202e-2
0.732, 1.221e-2
0.733, 1.240e-2
0.734, 1.260e-2
0.735, 1.279e-2
0.736, 1.300e-2
0.737, 1.321e-2
0.738, 1.341e-2
0.739, 1.360e-2
0.740, 1.380e-2
0.741, 1.401e-2
0.742, 1.419e-2
0.743, 1.442e-2
0.744, 1.464e-2
0.745, 1.486e-2
0.746, 1.506e-2
0.747, 1.528e-2
0.748, 1.549e-2
0.749, 1.570e-2
0.750, 1.592e-2
0.751, 1.612e-2
0.752, 1.637e-2
0.753, 1.659e-2
0.754, 1.681e-2
0.755, 1.703e-2
0.756, 1.723e-2
0.757, 1.747e-2
0.758, 1.770e-2
0.759, 1.792e-2
0.760, 1.816e-2
0.761, 1.835e-2
0.762, 1.860e-2
0.763, 1.884e-2
0.764, 1.907e-2
0.765, 1.928e-2
0.766, 1.952e-2
0.767, 1.976e-2
0.768, 2.000e-2
0.769, 2.022e-2
0.770, 2.046e-2
0.771, 2.069e-2
0.772, 2.093e-2
0.773, 2.117e-2
0.774, 2.139e-2
0.775, 2.164e-2
0.776, 2.188e-2
0.777, 2.212e-2
0.778, 2.236e-2
0.779, 2.259e-2
0.780, 2.283e-2
0.781, 2.306e-2
0.782, 2.331e-2
0.783, 2.356e-2
0.784, 2.379e-2
0.785, 2.404e-2
0.786, 2.429e-2
0.787, 2.454e-2
0.788, 2.477e-2
0.789, 2.503e-2
0.790, 2.527e-2
0.791, 2.552e-2
0.792, 2.576e-2
0.793, 2.602e-2
0.794, 2.626e-2
0.795, 2.652e-2
0.796, 2.678e-2
0.797, 2.702e-2
0.798, 2.723e-2
0.799, 2.748e-2
